Release Dates,Measure Month
22/12/1994,30/11/1994
27/01/1995,31/12/1994
01/03/1995,31/01/1995
31/03/1995,31/03/1995
28/04/1995,31/03/1995
31/05/1995,31/05/1995
30/06/1995,31/05/1995
28/07/1995,30/06/1995
30/08/1995,31/07/1995
29/09/1995,31/08/1995
27/10/1995,30/09/1995
19/01/1996,31/12/1995
23/02/1996,31/01/1996
02/04/1996,31/03/1996
02/05/1996,30/04/1996
30/05/1996,30/04/1996
28/06/1996,31/05/1996
01/08/1996,31/07/1996
29/08/1996,31/07/1996
27/09/1996,31/08/1996
30/10/1996,30/09/1996
27/11/1996,31/10/1996
20/12/1996,30/11/1996
31/01/1997,31/01/1997
28/02/1997,31/01/1997
28/03/1997,28/02/1997
30/04/1997,31/03/1997
07/05/1997,30/04/1997
15/05/1997,30/04/1997
30/05/1997,30/04/1997
27/06/1997,31/05/1997
31/07/1997,31/07/1997
28/08/1997,31/07/1997
26/09/1997,31/08/1997
31/10/1997,31/10/1997
26/11/1997,31/10/1997
23/12/1997,30/11/1997
30/01/1998,31/12/1997
27/02/1998,31/01/1998
26/03/1998,28/02/1998
30/04/1998,31/03/1998
28/05/1998,30/04/1998
25/06/1998,31/05/1998
31/07/1998,31/07/1998
27/08/1998,31/07/1998
24/09/1998,31/08/1998
30/10/1998,30/09/1998
24/11/1998,31/10/1998
23/12/1998,30/11/1998
29/01/1999,31/12/1998
26/02/1999,31/01/1999
31/03/1999,31/03/1999
30/04/1999,31/03/1999
27/05/1999,30/04/1999
25/06/1999,31/05/1999
29/07/1999,30/06/1999
26/08/1999,31/07/1999
30/09/1999,31/08/1999
28/10/1999,30/09/1999
29/10/1999,30/09/1999
30/10/1999,30/09/1999
01/11/1999,31/10/1999
02/11/1999,31/10/1999
03/11/1999,31/10/1999
24/11/1999,31/10/1999
03/12/1999,30/11/1999
07/12/1999,30/11/1999
22/12/1999,30/11/1999
28/01/2000,31/12/1999
25/02/2000,31/01/2000
30/03/2000,29/02/2000
03/04/2000,31/03/2000
06/04/2000,31/03/2000
27/04/2000,31/03/2000
02/05/2000,30/04/2000
25/05/2000,30/04/2000
16/06/2000,31/05/2000
29/06/2000,31/05/2000
28/07/2000,30/06/2000
25/08/2000,31/07/2000
28/09/2000,31/08/2000
27/10/2000,30/09/2000
29/11/2000,31/10/2000
21/12/2000,30/11/2000
31/01/2001,31/01/2001
28/02/2001,31/01/2001
29/03/2001,28/02/2001
27/04/2001,31/03/2001
25/05/2001,30/04/2001
29/06/2001,31/05/2001
27/07/2001,30/06/2001
29/08/2001,31/07/2001
28/09/2001,31/08/2001
31/10/2001,31/10/2001
30/11/2001,31/10/2001
21/12/2001,30/11/2001
30/01/2002,31/12/2001
28/02/2002,31/01/2002
28/03/2002,28/02/2002
26/04/2002,31/03/2002
24/05/2002,30/04/2002
27/06/2002,31/05/2002
31/07/2002,31/07/2002
29/08/2002,31/07/2002
27/09/2002,31/08/2002
31/10/2002,31/10/2002
26/11/2002,31/10/2002
20/12/2002,30/11/2002
30/01/2003,31/12/2002
28/02/2003,31/01/2003
27/03/2003,28/02/2003
25/04/2003,31/03/2003
29/05/2003,30/04/2003
26/06/2003,31/05/2003
31/07/2003,31/07/2003
28/08/2003,31/07/2003
26/09/2003,31/08/2003
30/10/2003,30/09/2003
25/11/2003,31/10/2003
10/12/2003,30/11/2003
11/12/2003,30/11/2003
12/12/2003,30/11/2003
13/12/2003,30/11/2003
16/12/2003,30/11/2003
17/12/2003,30/11/2003
18/12/2003,30/11/2003
23/12/2003,30/11/2003
09/01/2004,31/12/2003
13/01/2004,31/12/2003
23/01/2004,31/12/2003
30/01/2004,31/12/2003
27/02/2004,31/01/2004
25/03/2004,29/02/2004
29/04/2004,31/03/2004
27/05/2004,30/04/2004
25/06/2004,31/05/2004
30/07/2004,30/06/2004
27/08/2004,31/07/2004
29/09/2004,31/08/2004
29/10/2004,30/09/2004
30/11/2004,31/10/2004
22/12/2004,30/11/2004
28/01/2005,31/12/2004
25/02/2005,31/01/2005
30/03/2005,28/02/2005
28/04/2005,31/03/2005
26/05/2005,30/04/2005
29/06/2005,31/05/2005
29/07/2005,30/06/2005
31/08/2005,31/08/2005
29/09/2005,31/08/2005
28/10/2005,30/09/2005
30/11/2005,31/10/2005
21/12/2005,30/11/2005
27/01/2006,31/12/2005
28/02/2006,31/01/2006
30/03/2006,28/02/2006
28/04/2006,31/03/2006
04/05/2006,30/04/2006
25/05/2006,30/04/2006
29/06/2006,31/05/2006
28/07/2006,30/06/2006
30/08/2006,31/07/2006
28/09/2006,31/08/2006
27/10/2006,30/09/2006
29/11/2006,31/10/2006
21/12/2006,30/11/2006
31/01/2007,31/01/2007
28/02/2007,31/01/2007
29/03/2007,28/02/2007
27/04/2007,31/03/2007
31/05/2007,31/05/2007
28/06/2007,31/05/2007
27/07/2007,30/06/2007
30/08/2007,31/07/2007
27/09/2007,31/08/2007
31/10/2007,31/10/2007
29/11/2007,31/10/2007
