Release Dates,Measure Month
11/09/2015,31/08/2015
14/10/2015,30/09/2015
13/11/2015,31/10/2015
11/12/2015,30/11/2015
15/01/2016,31/12/2015
17/02/2016,31/01/2016
15/03/2016,29/02/2016
13/04/2016,31/03/2016
13/05/2016,30/04/2016
15/06/2016,31/05/2016
14/07/2016,30/06/2016
12/08/2016,31/07/2016
15/09/2016,31/08/2016
14/10/2016,30/09/2016
16/11/2016,31/10/2016
14/12/2016,30/11/2016
13/01/2017,31/12/2016
10/02/2017,31/01/2017
14/02/2017,31/01/2017
14/03/2017,28/02/2017
13/04/2017,31/03/2017
11/05/2017,30/04/2017
13/06/2017,31/05/2017
13/07/2017,30/06/2017
10/08/2017,31/07/2017
13/09/2017,31/08/2017
12/10/2017,30/09/2017
14/11/2017,31/10/2017
12/12/2017,30/11/2017
11/01/2018,31/12/2017
15/02/2018,31/01/2018
14/03/2018,28/02/2018
10/04/2018,31/03/2018
09/05/2018,30/04/2018
13/06/2018,31/05/2018
11/07/2018,30/06/2018
09/08/2018,31/07/2018
12/09/2018,31/08/2018
10/10/2018,30/09/2018
09/11/2018,31/10/2018
11/12/2018,30/11/2018
15/01/2019,31/12/2018
12/02/2019,31/01/2019
14/02/2019,31/01/2019
13/03/2019,28/02/2019
11/04/2019,31/03/2019
09/05/2019,30/04/2019
11/06/2019,31/05/2019
12/07/2019,30/06/2019
09/08/2019,31/07/2019
11/09/2019,31/08/2019
08/10/2019,30/09/2019
14/11/2019,31/10/2019
12/12/2019,30/11/2019
15/01/2020,31/12/2019
14/02/2020,31/01/2020
19/02/2020,31/01/2020
12/03/2020,29/02/2020
09/04/2020,31/03/2020
13/05/2020,30/04/2020
11/06/2020,31/05/2020
10/07/2020,30/06/2020
11/08/2020,31/07/2020
10/09/2020,31/08/2020
14/10/2020,30/09/2020
13/11/2020,31/10/2020
11/12/2020,30/11/2020
15/01/2021,31/12/2020
12/02/2021,31/01/2021
17/02/2021,31/01/2021
12/03/2021,28/02/2021
09/04/2021,31/03/2021
13/05/2021,30/04/2021
15/06/2021,31/05/2021
14/07/2021,30/06/2021
12/08/2021,31/07/2021
10/09/2021,31/08/2021
14/10/2021,30/09/2021
09/11/2021,31/10/2021
14/12/2021,30/11/2021
