ReleaseDates,MeasureMonth,CrossDate
24/10/1980,30/09/1980,01/09/1980
25/11/1980,31/10/1980,01/10/1980
23/12/1980,30/11/1980,01/11/1980
23/01/1981,31/12/1980,01/12/1980
25/02/1981,31/01/1981,01/01/1981
24/03/1981,28/02/1981,01/02/1981
23/04/1981,31/03/1981,01/03/1981
22/05/1981,30/04/1981,01/04/1981
23/06/1981,31/05/1981,01/05/1981
23/07/1981,30/06/1981,01/06/1981
25/08/1981,31/07/1981,01/07/1981
24/09/1981,31/08/1981,01/08/1981
23/10/1981,30/09/1981,01/09/1981
24/11/1981,31/10/1981,01/10/1981
22/12/1981,30/11/1981,01/11/1981
22/01/1982,31/12/1981,01/12/1981
25/02/1982,31/01/1982,01/01/1982
23/03/1982,28/02/1982,01/02/1982
23/04/1982,31/03/1982,01/03/1982
21/05/1982,30/04/1982,01/04/1982
22/06/1982,31/05/1982,01/05/1982
23/07/1982,30/06/1982,01/06/1982
24/08/1982,31/07/1982,01/07/1982
23/09/1982,31/08/1982,01/08/1982
26/10/1982,30/09/1982,01/09/1982
23/11/1982,31/10/1982,01/10/1982
21/12/1982,30/11/1982,01/11/1982
21/01/1983,31/12/1982,01/12/1982
25/02/1983,31/01/1983,01/01/1983
23/03/1983,28/02/1983,01/02/1983
22/04/1983,31/03/1983,01/03/1983
24/05/1983,30/04/1983,01/04/1983
22/06/1983,31/05/1983,01/05/1983
22/07/1983,30/06/1983,01/06/1983
23/08/1983,31/07/1983,01/07/1983
23/09/1983,31/08/1983,01/08/1983
25/10/1983,30/09/1983,01/09/1983
23/11/1983,31/10/1983,01/10/1983
21/12/1983,30/11/1983,01/11/1983
24/01/1984,31/12/1983,01/12/1983
24/02/1984,31/01/1984,01/01/1984
23/03/1984,29/02/1984,01/02/1984
24/04/1984,31/03/1984,01/03/1984
22/05/1984,30/04/1984,01/04/1984
22/06/1984,31/05/1984,01/05/1984
24/07/1984,30/06/1984,01/06/1984
22/08/1984,31/07/1984,01/07/1984
21/09/1984,31/08/1984,01/08/1984
24/10/1984,30/09/1984,01/09/1984
21/11/1984,31/10/1984,01/10/1984
20/12/1984,30/11/1984,01/11/1984
23/01/1985,31/12/1984,01/12/1984
26/02/1985,31/01/1985,01/01/1985
22/03/1985,28/02/1985,01/02/1985
23/04/1985,31/03/1985,01/03/1985
21/05/1985,30/04/1985,01/04/1985
20/06/1985,31/05/1985,01/05/1985
23/07/1985,30/06/1985,01/06/1985
22/08/1985,31/07/1985,01/07/1985
24/09/1985,31/08/1985,01/08/1985
23/10/1985,30/09/1985,01/09/1985
22/11/1985,31/10/1985,01/10/1985
20/12/1985,30/11/1985,01/11/1985
22/01/1986,31/12/1985,01/12/1985
25/02/1986,31/01/1986,01/01/1986
25/03/1986,28/02/1986,01/02/1986
22/04/1986,31/03/1986,01/03/1986
21/05/1986,30/04/1986,01/04/1986
20/06/1986,31/05/1986,01/05/1986
23/07/1986,30/06/1986,01/06/1986
21/08/1986,31/07/1986,01/07/1986
23/09/1986,31/08/1986,01/08/1986
23/10/1986,30/09/1986,01/09/1986
25/11/1986,31/10/1986,01/10/1986
19/12/1986,30/11/1986,01/11/1986
21/01/1987,31/12/1986,01/12/1986
27/02/1987,31/01/1987,01/01/1987
27/03/1987,28/02/1987,01/02/1987
24/04/1987,31/03/1987,01/03/1987
22/05/1987,30/04/1987,01/04/1987
23/06/1987,31/05/1987,01/05/1987
22/07/1987,30/06/1987,01/06/1987
21/08/1987,31/07/1987,01/07/1987
23/09/1987,31/08/1987,01/08/1987
23/10/1987,30/09/1987,01/09/1987
20/11/1987,31/10/1987,01/10/1987
18/12/1987,30/11/1987,01/11/1987
20/01/1988,31/12/1987,01/12/1987
26/02/1988,31/01/1988,01/01/1988
23/03/1988,29/02/1988,01/02/1988
20/04/1988,31/03/1988,01/03/1988
20/05/1988,30/04/1988,01/04/1988
21/06/1988,31/05/1988,01/05/1988
22/07/1988,30/06/1988,01/06/1988
23/08/1988,31/07/1988,01/07/1988
21/09/1988,31/08/1988,01/08/1988
21/10/1988,30/09/1988,01/09/1988
22/11/1988,31/10/1988,01/10/1988
20/12/1988,30/11/1988,01/11/1988
19/01/1989,31/12/1988,01/12/1988
22/02/1989,31/01/1989,01/01/1989
21/03/1989,28/02/1989,01/02/1989
18/04/1989,31/03/1989,01/03/1989
18/05/1989,30/04/1989,01/04/1989
16/06/1989,31/05/1989,01/05/1989
19/07/1989,30/06/1989,01/06/1989
18/08/1989,31/07/1989,01/07/1989
19/09/1989,31/08/1989,01/08/1989
19/10/1989,30/09/1989,01/09/1989
21/11/1989,31/10/1989,01/10/1989
19/12/1989,30/11/1989,01/11/1989
18/01/1990,31/12/1989,01/12/1989
21/02/1990,31/01/1990,01/01/1990
20/03/1990,28/02/1990,01/02/1990
17/04/1990,31/03/1990,01/03/1990
16/05/1990,30/04/1990,01/04/1990
15/06/1990,31/05/1990,01/05/1990
18/07/1990,30/06/1990,01/06/1990
16/08/1990,31/07/1990,01/07/1990
18/09/1990,31/08/1990,01/08/1990
18/10/1990,30/09/1990,01/09/1990
16/11/1990,31/10/1990,01/10/1990
18/12/1990,30/11/1990,01/11/1990
16/01/1991,31/12/1990,01/12/1990
20/02/1991,31/01/1991,01/01/1991
19/03/1991,28/02/1991,01/02/1991
12/04/1991,31/03/1991,01/03/1991
14/05/1991,30/04/1991,01/04/1991
14/06/1991,31/05/1991,01/05/1991
17/07/1991,30/06/1991,01/06/1991
14/08/1991,31/07/1991,01/07/1991
13/09/1991,31/08/1991,01/08/1991
17/10/1991,30/09/1991,01/09/1991
14/11/1991,31/10/1991,01/10/1991
13/12/1991,30/11/1991,01/11/1991
16/01/1992,31/12/1991,01/12/1991
19/02/1992,31/01/1992,01/01/1992
17/03/1992,29/02/1992,01/02/1992
10/04/1992,31/03/1992,01/03/1992
13/05/1992,30/04/1992,01/04/1992
12/06/1992,31/05/1992,01/05/1992
14/07/1992,30/06/1992,01/06/1992
13/08/1992,31/07/1992,01/07/1992
15/09/1992,31/08/1992,01/08/1992
15/10/1992,30/09/1992,01/09/1992
13/11/1992,31/10/1992,01/10/1992
13/12/1992,30/11/1992,01/11/1992
15/01/1993,31/12/1992,01/12/1992
18/02/1993,31/01/1993,01/01/1993
17/03/1993,28/02/1993,01/02/1993
09/04/1993,31/03/1993,01/03/1993
13/05/1993,30/04/1993,01/04/1993
15/06/1993,31/05/1993,01/05/1993
14/07/1993,30/06/1993,01/06/1993
13/08/1993,31/07/1993,01/07/1993
14/09/1993,31/08/1993,01/08/1993
15/10/1993,30/09/1993,01/09/1993
10/11/1993,31/10/1993,01/10/1993
10/12/1993,30/11/1993,01/11/1993
13/01/1994,31/12/1993,01/12/1993
17/02/1994,31/01/1994,01/01/1994
16/03/1994,28/02/1994,01/02/1994
13/04/1994,31/03/1994,01/03/1994
13/05/1994,30/04/1994,01/04/1994
14/06/1994,31/05/1994,01/05/1994
13/07/1994,30/06/1994,01/06/1994
12/08/1994,31/07/1994,01/07/1994
13/09/1994,31/08/1994,01/08/1994
14/10/1994,30/09/1994,01/09/1994
16/11/1994,31/10/1994,01/10/1994
14/12/1994,30/11/1994,01/11/1994
11/01/1995,31/12/1994,01/12/1994
15/02/1995,31/01/1995,01/01/1995
16/03/1995,28/02/1995,01/02/1995
12/04/1995,31/03/1995,01/03/1995
12/05/1995,30/04/1995,01/04/1995
13/06/1995,31/05/1995,01/05/1995
14/07/1995,30/06/1995,01/06/1995
11/08/1995,31/07/1995,01/07/1995
13/09/1995,31/08/1995,01/08/1995
13/10/1995,30/09/1995,01/09/1995
15/11/1995,31/10/1995,01/10/1995
14/12/1995,30/11/1995,01/11/1995
01/02/1996,31/12/1995,01/12/1995
28/02/1996,31/01/1996,01/01/1996
15/03/1996,29/02/1996,01/02/1996
12/04/1996,31/03/1996,01/03/1996
14/05/1996,30/04/1996,01/04/1996
12/06/1996,31/05/1996,01/05/1996
16/07/1996,30/06/1996,01/06/1996
13/08/1996,31/07/1996,01/07/1996
13/09/1996,31/08/1996,01/08/1996
16/10/1996,30/09/1996,01/09/1996
14/11/1996,31/10/1996,01/10/1996
12/12/1996,30/11/1996,01/11/1996
14/01/1997,31/12/1996,01/12/1996
19/02/1997,31/01/1997,01/01/1997
19/03/1997,28/02/1997,01/02/1997
15/04/1997,31/03/1997,01/03/1997
15/05/1997,30/04/1997,01/04/1997
17/06/1997,31/05/1997,01/05/1997
16/07/1997,30/06/1997,01/06/1997
14/08/1997,31/07/1997,01/07/1997
16/09/1997,31/08/1997,01/08/1997
16/10/1997,30/09/1997,01/09/1997
18/11/1997,31/10/1997,01/10/1997
16/12/1997,30/11/1997,01/11/1997
13/01/1998,31/12/1997,01/12/1997
24/02/1998,31/01/1998,01/01/1998
19/03/1998,28/02/1998,01/02/1998
14/04/1998,31/03/1998,01/03/1998
14/05/1998,30/04/1998,01/04/1998
16/06/1998,31/05/1998,01/05/1998
